IMDB ID,Title,Actors,Writer,Genre,Plot
tt4279012,Death Parade,"Jamie Marchi, Tomoaki Maeno, Anastasia Munoz, Alex Organ",  ,"Animation, Drama, Horror, Mystery, Thriller","After death, humans go to either heaven or hell. But for some, at the instant of their death, they arrive at the Quindecim, a bar attended by the mysterious white-haired Decim."
tt0800240,Deception,"Ewan McGregor, Hugh Jackman, Michelle Williams, Bruce Altman",Mark Bomback,"Crime, Drama, Mystery, Thriller","An accountant is introduced to a mysterious sex club known as The List by his lawyer friend. But in this new world, he soon becomes the prime suspect in a woman's disappearance and a multi-million dollar heist."
tt4785472,Deep State,"Anastasia Griffith, Mark Strong, Joe Dempsie, Karima McAdams","Simon Maxwell, Matthew Parkhill","Action, Drama, Thriller","What happens when a man who believes he has retired from MI6 is called back to do one more job to regain his life, only to discover that this job may mean he has no life to go back to."
tt1034303,Defiance,"Daniel Craig, Liev Schreiber, Jamie Bell, Alexa Davalos","Clayton Frohman (screenplay), Edward Zwick (screenplay), Nechama Tec (book)","Action, Drama, History, Thriller, War","Jewish brothers in Nazi-occupied Eastern Europe escape into the Belarussian forests, where they join Russian resistance fighters, and endeavor to build a village, in order to protect themselves and about one thousand Jewish non-combatants."
tt5320160,Degrassi: Next Class,"Nikki Gould, Amanda Arcuri, Sara Waisglass, Ricardo Hoyos","Linda Schuyler, Yan Moore","Drama, Romance","Degrassi: Next Class follows the lives of the students from Degrassi Community School, a fictional high school in Toronto. It is the fifth series in the Degrassi franchise. The series ..."
tt0288937,Degrassi: The Next Generation,"Stefan Brogren, Aislinn Paul, Melinda Shankar, A.J. Saudin","Kit Hood, Yan Moore, Linda Schuyler","Drama, Romance",The lives of the kids at Degrassi Community School dealing with the serious and sometimes taboo issues that plague teenagers.
tt7120662,Derry Girls,"Saoirse-Monica Jackson, Louisa Harland, Nicola Coughlan, Jamie-Lee O'Donnell",Lisa McGee,Comedy,The personal exploits of a 16-year-old girl and her family and friends during the Troubles in the early 1990s.
tt5296406,Designated Survivor,"Kiefer Sutherland, Adan Canto, Italia Ricci, Kal Penn",David Guggenheim,"Action, Drama, Mystery, Thriller",A low-level Cabinet member becomes President of the United States after a catastrophic attack kills everyone above him in the line of succession.
tt0410975,Desperate Housewives,"Teri Hatcher, Felicity Huffman, Marcia Cross, Eva Longoria",Marc Cherry,"Comedy, Drama, Mystery, Romance","Secrets and truths unfold through the lives of female friends in one suburban neighborhood, after the mysterious suicide of a neighbor."
tt6660498,Devilman: Crybaby,"Griffin Burns, Cherami Leigh, Kyle McCarley, Cindy Robinson",  ,"Animation, Action, Fantasy, Horror","Demons invade humanity after being frozen in ice for millions of years. Akira, a timid boy, is tasked by his friend Ryo to merge with one of these demons in order to be able to fight back against them for the sake of humanity."
